dataset,internal
Cochlea-Left,Cochlea_L
Cochlea-Right,Cochlea_R
Medulla-Oblongata,MedullaOblongata
Neck-Left,Neck_L
Neck-Right,Neck_R
Oral-Cavity,OralCavity
Parotid-Left,Parotid_L
Parotid-Right,Parotid_R
Spinal-Cord,SpinalCord
Submandibular-Gland-Left,Submandibular_L
Submandibular-Gland-Right,Submandibular_R
